12,100,3000,2,-1
11,55,3000,1,-1
11,100,700,2,-1
12,50,5000,1,-1
11,27,1701,1,-1, ,13,100,1000,1,-1
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
25,0,0,2,-1
26,80,900,1,-1
29,0,0,1,-1
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
12,100,1000,1,-1
13,13,2644,2,-1
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
n,n,n,n,n
